guid,Schweiz (codiert),Schweiz(uncodiert),Schweiz Kriterien,Bemerkungen,Remarques,Osservazioni,Einzugsgebiet,Europa nach Berner Konvention
EB81BF68-5030-4BF6-AD61-B1D22FE821E7,4,potenziellgefährdet,,,,,Ticino,geschützt
3ABE6448-10F7-40F7-AB5C-1FF74CA7E389,4,potenziellgefährdet,,,,,"Rhein, Rhône",
D2328A16-99A5-4445-9EEA-0EE21FFB40FC,4,potenziellgefährdet,,,,,Seespezifische,geschützt
8BEDCD80-A73D-48A0-877F-BDBAA9956B1A,4,potenziellgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",
509A18CF-30A8-4AD1-9B54-ED3FE0459B81,4,potenziellgefährdet,,,,,"Hochrhein, Aare, Boden
-see, lacs pied du Jura",geschützt
3008A349-1730-4BB7-AE44-98111BAD4EAC,2,starkgefährdet,,,,,Ticino,geschützt
F87CC344-1728-4CCF-B72D-055F2FBBCF73,2,starkgefährdet,,,,,"Rhein, Rhône, Doubs",geschützt
19EC7064-792B-4857-8A79-557F63A59952,2,starkgefährdet,,,,,Rhein,geschützt
8C796D5E-A3F0-436B-8814-D6003D5F0179,2,starkgefährdet,,,,,Ticino,geschützt
346FFE91-0078-414A-9E85-7E419146162C,2,starkgefährdet,,,,,"Rhein, Doubs, Ticino",geschützt
854CD431-696D-4573-8CF6-02488236C643,2,starkgefährdet,,,,,Seespezifisch,
A059AB94-6DC6-47D4-8525-454125EEAA05,2,starkgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",geschützt
AA84B426-E275-4E5D-B8D0-9C6FB64072AE,2,starkgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",geschützt
F23550B2-443C-42FE-9BA7-E589285CD883,1,vomAussterbenbedroht,,,,,Raum Basel,geschützt
78189577-D0BE-40C3-8035-7685E7EC7534,1,vomAussterbenbedroht,,,,,Rhein,geschützt
4AC8C4A4-8AB1-4B84-A548-566131BFF9A9,1,vomAussterbenbedroht,,,,,Ticino,geschützt
34A80C57-8C25-4E19-B975-0562854750EC,1,vomAussterbenbedroht,,,,,Doubs,geschützt
8FC2F17C-59B7-44C6-A2DB-7F41C8F52CFC,1,vomAussterbenbedroht,,,,,Doubs,stark geschützt
