guid,Schweiz (codiert),Schweiz (uncodiert),Remarques,Bemerkungen,Osservazioni
52CB9FE7-BA2D-40CE-AE23-277A1276C410,NG,nicht gefährdet,,,
1058A86D-2141-47A3-BA4F-2C287697A327,4,potentiell gefährdet,,,
2BC7164C-9CBD-4BE2-BB18-6E76D41B5D76,NG,nicht gefährdet,,,
1D73B376-066B-4625-A731-9B9330388916,4,potentiell gefährdet,,,
F87CC344-1728-4CCF-B72D-055F2FBBCF73,3,gefährdet,,,
76C0A43A-285F-445B-94A4-40E9C3694436,2,stark gefährdet,,,
8DBCB0FD-B7E2-4D2F-A651-2120809B0E53,NG,nicht gefährdet,,,
19EC7064-792B-4857-8A79-557F63A59952,2,stark gefährdet,,,
EDA4141D-B8C1-4239-8342-DA2AC3862A9A,3,gefährdet,,,
EB81BF68-5030-4BF6-AD61-B1D22FE821E7,4,potentiell gefährdet,,,
77328EA3-4E7B-4881-BB6C-7EE54B65EA37,NG,nicht gefährdet,,,
05B27C7E-AFF6-4559-9A4C-7182260FBFC0,NG,nicht gefährdet,,,
FE187783-AA2A-42DB-98BC-820EB41F01A6,NG,nicht gefährdet,,,
5181A3FF-5846-4798-ADB4-CA307E313730,NG,nicht gefährdet,,,
DE75BF0E-725C-4AB6-A3D6-1B480EA326D8,NG,nicht gefährdet,,,
3ABE6448-10F7-40F7-AB5C-1FF74CA7E389,4,potentiell gefährdet,,,
8C796D5E-A3F0-436B-8814-D6003D5F0179,2,stark gefährdet,,,
AFA01B80-5458-401F-A4BC-7D45CA606371,NG,nicht gefährdet,,,
F5CE30A1-315B-4496-9D6B-4598103048BC,NG,nicht gefährdet,,,
8FC2F17C-59B7-44C6-A2DB-7F41C8F52CFC,1,vom Aussterben bedroht,,,
0E85D0A0-B20D-4832-AFE7-2D91F20437F0,0,ausgestorben oder verschollen,,,
346FFE91-0078-414A-9E85-7E419146162C,2,stark gefährdet,,,
D2328A16-99A5-4445-9EEA-0EE21FFB40FC,4,potentiell gefährdet,,,
893E768B-12A6-4BD6-919B-FD3A7CBC199C,0,ausgestorben oder verschollen,,,
E09CC394-56B3-44A1-B898-FBA79B829F94,0,ausgestorben oder verschollen,,,
8BEDCD80-A73D-48A0-877F-BDBAA9956B1A,4,potentiell gefährdet,,,
854CD431-696D-4573-8CF6-02488236C643,2,stark gefährdet,,,
1B270A03-C666-4C34-827A-A70524C7C1DA,0,ausgestorben oder verschollen,,,
CE71E971-C82B-4B18-B731-E43841DD9CCA,0,ausgestorben oder verschollen,,,
33BF1A2D-0CDC-48F7-801C-96BEA0D5BF61,3,gefährdet,,,
7999CCA7-3647-4423-894C-4477B5DE3F9D,3,gefährdet,,,
509A18CF-30A8-4AD1-9B54-ED3FE0459B81,4,potentiell gefährdet,,,
D1D2AC0D-EDE9-45A2-9C58-9E3AD9E5CC44,3,gefährdet,,,
A059AB94-6DC6-47D4-8525-454125EEAA05,2,stark gefährdet,,,
AA84B426-E275-4E5D-B8D0-9C6FB64072AE,2,stark gefährdet,,,
EADCE3A1-1FE8-493A-B1AC-7861270AFF80,1,vom Aussterben bedroht,"paysage de haies, combles tranquilles","heckenreiche Landschaften, ruhige Dachstöcke","paessaggi ricchi di siepi, solai tranquilli "
795EA546-A03C-4985-8262-9EBF8E2AAD6D,1,vom Aussterben bedroht,"paysage de haies, combles tranquilles","heckenreiche Landschaften, ruhige Dachstöcke","paessaggi ricchi di siepi, solai tranquilli "
3AE131C8-98A4-4224-9C8C-CC38D167F7C9,1,vom Aussterben bedroht,,,
93E5AD40-4279-42B3-ADCA-7B4C342F2E5C,4a,"potentiell gefährdet. a heisst: Tierarten, die im Gebiet nur wenige und kleine Populationen besitzen, die aber wegen dem Fehlen einer aktuellen Gefährdung nicht in den Kategorien 1 bis 3 figurieren. Die Kat. 4a entspricht der IUCN-Kategorie «Rare» (selten). Darunter fallen vor allem Arten, deren Verbreitungsgebiet die Schweiz noch knapp erreicht (Arealrand), oder Arten, die als Lokalendemiten im Gebiet schon immer selten waren. lnfolge ihrer grossen Seltenheit sind diese Arten durch unvorhersehbare lokale Ereignisse potentiell gefährdet.Zeichnetsich eine aktuelle Gefährdung ab, wechseln diese Arten direkt in die Kat. 1 (vom Aussterben bedroht) oder Kat. 2 B (im ganzen Gebiet stark gefährdet).",,,
EDF4C716-9C20-4E1E-A25A-7D493322B83E,2,stark gefährdet,,,
216CE0EA-C085-466D-9FE0-36837B02121D,4b,"potentiell gefährdet. Mit b sind Arten bezeichnet, deren taxonomischer Stand nicht geklärt ist. Oft ist bei Unterarten nicht klar, ob sie nicht tatsächlich als biologische Arten behandelt werden müssten.",,,
7BA368B8-3A6A-4881-A09D-0ED33AC9A81B,1,vom Aussterben bedroht,,,
2BE19F71-B05E-4433-9C0B-07A8526135DC,4b,"potentiell gefährdet. Mit b sind Arten bezeichnet, deren taxonomischer Stand nicht geklärt ist. Oft ist bei Unterarten nicht klar, ob sie nicht tatsächlich als biologische Arten behandelt werden müssten.",forêts avec arbres à cavités,baumhöhlenreiche Wälder ,boschi con alberi ricchi di cavità
30A69F5D-A76E-4C87-80FD-69B587EA8CCA,2,stark gefährdet,combles tranquilles,ruhige Dachstöcke,solai tranquilli
17A067D3-E949-4ACA-9857-BD4672C1EC2C,4b,"potentiell gefährdet. Mit b sind Arten bezeichnet, deren taxonomischer Stand nicht geklärt ist. Oft ist bei Unterarten nicht klar, ob sie nicht tatsächlich als biologische Arten behandelt werden müssten.",,,
086466DC-C2B7-48A1-8DFB-81C05EFF8558,0,ausgestorben oder verschollen,,,
8E53DABE-68B8-4D4F-B2B6-C11C16F8A468,3,gefährdet,"forêts avec arbres à cavités, cours d'eau naturels","baumhöhlenreiche Wälder, naturnahe Gewässer","boschi con alberi ricchi di cavità, corsi e specchi d'acqua naturali"
D75DE611-8AB9-4244-9BCF-FCC0E0C718BB,4a,"potentiell gefährdet. a heisst: Tierarten, die im Gebiet nur wenige und kleine Populationen besitzen, die aber wegen dem Fehlen einer aktuellen Gefährdung nicht in den Kategorien 1 bis 3 figurieren. Die Kat. 4a entspricht der IUCN-Kategorie «Rare» (selten). Darunter fallen vor allem Arten, deren Verbreitungsgebiet die Schweiz noch knapp erreicht (Arealrand), oder Arten, die als Lokalendemiten im Gebiet schon immer selten waren. lnfolge ihrer grossen Seltenheit sind diese Arten durch unvorhersehbare lokale Ereignisse potentiell gefährdet.Zeichnetsich eine aktuelle Gefährdung ab, wechseln diese Arten direkt in die Kat. 1 (vom Aussterben bedroht) oder Kat. 2 B (im ganzen Gebiet stark gefährdet).",,,
E135C7FE-1974-4D72-89D3-A8132AB6D23C,2,stark gefährdet,combles tranquilles,ruhige Dachstöcke,solai tranquilli
9EA612C0-1DCF-4D09-86C6-CEAFC216ED6C,3,gefährdet,"paysages ruraux riches en éléments, exploit. extensive","strukturreiche, extensiv genutzte Kulturlandschaft","paessaggio agricolo sfruttato estensivamente, ricco di strutture"
CB842CEA-C331-481B-96CA-03ED4D26E05D,4b,"potentiell gefährdet. Mit b sind Arten bezeichnet, deren taxonomischer Stand nicht geklärt ist. Oft ist bei Unterarten nicht klar, ob sie nicht tatsächlich als biologische Arten behandelt werden müssten.","paysages ruraux riches en éléments, exploit. extensive","strukturreiche, extensiv genutzte Kulturlandschaft","paessaggio agricolo sfruttato estensivamente, ricco di strutture"
8EE578C8-6E6E-4573-AEE8-4D1798318800,4a,"potentiell gefährdet. a heisst: Tierarten, die im Gebiet nur wenige und kleine Populationen besitzen, die aber wegen dem Fehlen einer aktuellen Gefährdung nicht in den Kategorien 1 bis 3 figurieren. Die Kat. 4a entspricht der IUCN-Kategorie «Rare» (selten). Darunter fallen vor allem Arten, deren Verbreitungsgebiet die Schweiz noch knapp erreicht (Arealrand), oder Arten, die als Lokalendemiten im Gebiet schon immer selten waren. lnfolge ihrer grossen Seltenheit sind diese Arten durch unvorhersehbare lokale Ereignisse potentiell gefährdet.Zeichnetsich eine aktuelle Gefährdung ab, wechseln diese Arten direkt in die Kat. 1 (vom Aussterben bedroht) oder Kat. 2 B (im ganzen Gebiet stark gefährdet).",forêts avec arbres à cavités,baumhöhlenreiche Wälder,boschi con alberi ricchi di cavità
BE7E5CE2-2580-4103-BF4E-6C070039D38F,4b,"potentiell gefährdet. Mit b sind Arten bezeichnet, deren taxonomischer Stand nicht geklärt ist. Oft ist bei Unterarten nicht klar, ob sie nicht tatsächlich als biologische Arten behandelt werden müssten.",forêts avec arbres à cavités,baumhöhlenreiche Wälder,boschi con alberi ricchi di cavità
B70A5010-BA03-4A2D-8750-63C069C3F6DA,3,gefährdet,forêts avec arbres à cavités,baumhöhlenreiche Wälder,boschi con alberi ricchi di cavità
6EAF64F1-A37D-4C63-AE88-450D3DB3F650,n,nicht gefährdet,,,
87575545-6A00-4815-803B-0DF42028CF4B,3,gefährdet,forêts avec arbres à cavités et bois mort,baumhöhlenreiche Wälder mit viel Totholz,boschi con alberi ricchi di cavità con molto legno morto
75F7FF9D-CAB4-4410-9C43-AA5761EA96D0,n,nicht gefährdet,,,
2C29B4F0-771F-40CD-AB35-D8AD3BFDA248,3,gefährdet,forêts avec arbres à cavités et vergers,baumhöhlenreiche Wälder und Obstgärten,boschi e frutteti con alberi ricchi di cavità
1929302F-C2A9-4434-AE14-22DF58E8F0C9,4b,"potentiell gefährdet. Mit b sind Arten bezeichnet, deren taxonomischer Stand nicht geklärt ist. Oft ist bei Unterarten nicht klar, ob sie nicht tatsächlich als biologische Arten behandelt werden müssten.",forêts avec arbres à cavités et vergers,baumhöhlenreiche Wälder und Obstgärten,boschi e frutteti con alberi ricchi di cavità
BB09B090-DA6E-47EB-8D7F-BC597CE011AB,4a,"potentiell gefährdet. a heisst: Tierarten, die im Gebiet nur wenige und kleine Populationen besitzen, die aber wegen dem Fehlen einer aktuellen Gefährdung nicht in den Kategorien 1 bis 3 figurieren. Die Kat. 4a entspricht der IUCN-Kategorie «Rare» (selten). Darunter fallen vor allem Arten, deren Verbreitungsgebiet die Schweiz noch knapp erreicht (Arealrand), oder Arten, die als Lokalendemiten im Gebiet schon immer selten waren. lnfolge ihrer grossen Seltenheit sind diese Arten durch unvorhersehbare lokale Ereignisse potentiell gefährdet.Zeichnetsich eine aktuelle Gefährdung ab, wechseln diese Arten direkt in die Kat. 1 (vom Aussterben bedroht) oder Kat. 2 B (im ganzen Gebiet stark gefährdet).",,,
8BCF1055-5126-4FF4-A44D-4EDAFA2D0E13,4a,"potentiell gefährdet. a heisst: Tierarten, die im Gebiet nur wenige und kleine Populationen besitzen, die aber wegen dem Fehlen einer aktuellen Gefährdung nicht in den Kategorien 1 bis 3 figurieren. Die Kat. 4a entspricht der IUCN-Kategorie «Rare» (selten). Darunter fallen vor allem Arten, deren Verbreitungsgebiet die Schweiz noch knapp erreicht (Arealrand), oder Arten, die als Lokalendemiten im Gebiet schon immer selten waren. lnfolge ihrer grossen Seltenheit sind diese Arten durch unvorhersehbare lokale Ereignisse potentiell gefährdet.Zeichnetsich eine aktuelle Gefährdung ab, wechseln diese Arten direkt in die Kat. 1 (vom Aussterben bedroht) oder Kat. 2 B (im ganzen Gebiet stark gefährdet).",,,
0069914A-E000-4237-83F1-947E9D7A2546,4,potentiell gefährdet,,,
15BE99CE-D4E7-43C7-A864-A03308E039DF,3,gefährdet,,,
1D6733AF-3425-4952-8A30-3373D45EBA44,3,gefährdet,,,
B1F2A366-5E94-4F50-A2AD-6DFE7C01EABD,3,gefährdet,,,
44A19AE3-80BB-4DE7-8F8A-0E51D1CC0B10,3,gefährdet,rives naturelles de ruisseaux,natürliche Bachufer,rive naturali
38CC2439-5F6E-46E5-BC18-2DF3C71E79EC,1,vom Aussterben bedroht,"forêts alluviales avec rives naturelles, manque au TI","Flussauen mit Wald und natürlichen Ufern, fehlt TI","rive con boschi, assente nel Ticino"
6FBCD234-E164-4AFA-B0E9-606D7E91BD09,4,potentiell gefährdet,"seulement en Engadine, rare","nur Engadin, selten","solo Engadina, raro"
C75F6303-4CFB-44E1-9CA2-3A93F6A0E4E5,3,gefährdet,,,
4D735AC0-C855-4C12-95D4-6E1B089AB623,3,gefährdet,,,
E161B865-302D-4ECF-9692-DEC431DCEC6A,4,potentiell gefährdet,,,
97F102DA-EAFB-4A9B-B45F-37882A49B351,3,gefährdet,,,
1D0DE952-8755-4DD3-BB09-6FEB8DF0CCDE,2,stark gefährdet,,,
14BD613C-1F03-4907-B7AF-7B590FDCA42C,0,ausgestorben oder verschollen,"disparu avant 1900, immigration possible, hybridation","vor 1900 ausgerottet, Einwanderung denkbar, Hybridisierung","sterminato prima del 1900, immigrazione possibile, ibridazioni"
4B0227E8-FCE7-49B0-B2A6-6A3FF7A76B2A,2,stark gefährdet,hybridation,Hybridisierung,ibridazioni
222E2F44-DD77-4A8D-8818-F0E2544366B5,1,vom Aussterben bedroht,réintroduit,Wiedereinbürgerung,reintroduzione
2451D8D0-5C76-44D6-8557-71BC91ED0F66,1,vom Aussterben bedroht,"rives intactes, reproduction empêchée par PCB","ungestörte Ufer, PCB verhindert Fortpflanzung","rive naturali, PBC impedisce la riproduzione"
2826EBAA-EF4F-4FBF-9D56-2D14CCFD7AF4,3,gefährdet,large variabilité génétique,breite genetische Variabilität,
8D543F2A-CCCF-4E53-8D86-A58F314D620A,3,gefährdet,,,
80C91662-6164-4DD5-B021-88DBAFB47F64,0,ausgestorben oder verschollen,exterminé en 1904,1904 ausgerottet,scomparso 1904
1EFF3E8A-F82E-4412-B0E4-CFDAC5F30E10,3,gefährdet,paysage rural proche de l'état naturel,naturnahe Agrarlandschaft,paesaggio agricolo naturale
9FCF8ACD-8160-4C26-92E2-D565D6C7DE91,4,potentiell gefährdet,"populations isolées, myxomatose","isolierte Population, Myxomatose","popolazioni isolate, mixomatosi"
F7EEA679-8AAA-47AE-8406-986ACF09C75E,0,ausgestorben oder verschollen,,,
0C0CEECA-FA3D-4E08-B2BE-34B689DC37A2,2,stark gefährdet,"dans le sable, sur Salix (saules)","Sandbewohner, auf Salix","vive nella sabbia, su Salix"
17FBDE21-7511-4C17-A42A-B990ACF7B962,4,potentiell gefährdet,,,
A40EF0AB-B6FC-4AD5-8966-4522DC07BF07,3,gefährdet,"dans le sable, sur Asteraceae","Sandbewohner, auf Asteraceae","vive nella sabbia, sulle Asteraceae"
45EB8869-BA1E-4EEE-A038-0C9878031997,3,gefährdet,habitant des sables,Sandbewohner,vive nella sabbia
FC20F6CF-2F07-4B7F-87F9-1B025196B337,4,potentiell gefährdet,"dans le sable, sur Odontites","Sandbewohner, auf Odontites","vive nella sabbia, su Odontites"
01BD27F2-C66C-43E7-A946-34F7492FF267,3,gefährdet,"dans le sable, sur Asteraceae","Sandbewohner, auf Asteraceae","vive nella sabbia, sulle Asteraceae"
F8118C29-61B9-4E99-81FA-E080BA723F7E,2,stark gefährdet,dans le sable,Sandbewohner,vive nella sabbia
44B26139-FC36-4254-BACF-8DCF427F69A2,0,ausgestorben oder verschollen,,,
0E596980-94FD-42B7-BAA2-538E79192987,4,potentiell gefährdet,,,
40170DD6-A83E-4998-9737-B9280C46B679,3,gefährdet,,,
50E73F42-917B-4F00-B7F1-6D43FCFF8C9B,4,potentiell gefährdet,,,
8B9FF7C7-3ABA-40BB-A2C0-6F0AF4500442,3,gefährdet,,,
37B8A231-AE85-4041-9CDA-D588F7108BBA,0,ausgestorben oder verschollen,autrefois canton de NE,früher Kt. Neuenburg,un tempo Canton Neuchàtel
EDCE9FE9-C62E-4268-9835-6A9D2796C9CD,0,ausgestorben oder verschollen,autrefois canton de GE,früher Kt. Genf,un tempo Canton Ginevra
F5FF57D8-7A4D-40E9-A410-C1971C8D83E8,4,potentiell gefährdet,prés maigres,Magerrasen,prati magri
8C83E147-AA1A-472B-8865-EF7C652E26AE,4,potentiell gefährdet,,,
681AA7FC-C53E-402C-A1C8-794C2198A9BA,3,gefährdet,nid dans galles de roseaux,Nest in Schilfgallen,nido nelle galle delle canne
F4D968B1-3C8B-4DB5-9FBC-9A06F0953E53,2,stark gefährdet,roselières,Schilfgebiete,canneti
82388814-CF62-4374-B3BB-A3A857DC5200,3,gefährdet,,,
4D157B02-81D2-4CAF-B1F4-59CCC89E049C,3,gefährdet,sur Allium,auf AIIium,su Allium
4E2F4298-09A2-4A3F-AA1C-13429CD4E063,3,gefährdet,,,
778E1DCD-87A3-40EA-96C6-120329016B65,3,gefährdet,,,
9F1DB4A3-0DD5-40BB-A4EC-2DDF0C566804,1,vom Aussterben bedroht,,,
8FC6339B-CCD4-4CE1-9F55-8862E8AE44C4,2,stark gefährdet,sur Cruciferae,auf Cruciferae,sulle Cruciferae
8AAF539C-BEF4-4781-AB66-4296AB123EDC,0,ausgestorben oder verschollen,,,
E967DB0A-66B6-4EB1-BB62-73EB1B405182,2,stark gefährdet,,,
2F22FF34-17E5-4029-A2C8-994650F5E279,3,gefährdet,dans le sable,Sandbewohner,vive nella sabbia
7CEF1855-A270-439B-99FE-53E13F541D0B,1,vom Aussterben bedroht,dans le sable,Sandbewohner,vive nella sabbia
2C65ECAE-AE3B-4C78-89D8-E082A1A0FE77,3,gefährdet,dans le sable,Sandbewohner,vive nella sabbia
A9CF7EC6-7ED5-4E2C-BC3A-2DEAD3C10EB6,3,gefährdet,dans le sable,Sandbewohner,vive nella sabbia
E717204B-000D-46BB-8620-10D630DBF4DB,3,gefährdet,prés maigres,Magerrasen,prati magri
61C0D860-B30A-490F-8B5C-C0F8D24C4F5D,2,stark gefährdet,,,
1DF81AC0-59DE-4AA2-B124-3DB07FF97F88,3,gefährdet,sur Asparagus,auf Asparagus,su Asparagus
84C72F3D-366E-4E86-9CE3-7412B26D14D7,3,gefährdet,,,
D32A3044-7BAD-49A1-BAFF-32093A4B60A2,3,gefährdet,prés maigres,Magerrasen,prati magri
CD4FE22E-572C-4E12-A03B-167AA9A13CD6,3,gefährdet,,,
6058BF34-1FD4-4CDE-97EA-71EF02EFCBF9,3,gefährdet,,,
B11DF491-8A8D-43F1-8AA3-603F7490355B,2,stark gefährdet,sur Campanula,auf Campanula,su Campanula
A7533ACB-AF55-4A3C-9343-BD6307EE70A2,0,ausgestorben oder verschollen,,,
A6867164-3B15-40BA-81C7-7C97B655863C,2,stark gefährdet,sur Asteraceae,auf Asteraceae,sulle Asteraceae
4D399091-FE51-4512-B831-90D8F947A7E6,0,ausgestorben oder verschollen,autrefois canton de GE,früher Kt. Genf,un tempo Canton Ginevra
FB360D51-9817-4A48-A57A-EF07F32B665D,0,ausgestorben oder verschollen,,,
04DA4AE7-E641-4DD5-A6E9-660F3D2013C1,3,gefährdet,,,
551B9E2C-A90E-4823-96BC-915257FB368F,3,gefährdet,sur Bryonia,auf Bryonia,su Bryonia
9E993ED9-7EB2-4A29-9459-875B60104B89,3,gefährdet,,,
B5BAFE7C-9E4E-4070-B39D-AC3E61112E6E,4,potentiell gefährdet,,,
3694B62E-D4E9-4EC8-B441-E5D5CBD3DB7C,0,ausgestorben oder verschollen,"dans le sable, sur Calluna","Sandbewohner, auf Calluna","vive nella sabbia, su Calluna"
D3848B9B-E445-447C-B6AC-E68FA4B08EE6,1,vom Aussterben bedroht,nourriture insuffisante,Nahrungsmangel,mancanza di nutrimento
8D23A0F5-3E9A-4C33-BB82-7E97E9E669D6,3,gefährdet,prés maigres,Magerrasen,prati magri
760C952E-B2EB-4389-87C4-D0CAFFDF4776,3,gefährdet,sur Dipsacaceae,auf Dipsacaceae,sulle Dipsacaceae
9901FCCC-C854-4DF9-8C34-911D3FD3AAAD,0,ausgestorben oder verschollen,,,
A8B52EBA-5B7C-43E7-9259-BCD78C71951F,0,ausgestorben oder verschollen,,,
71398813-F45D-4E7C-86E9-EFA1B0A60098,0,ausgestorben oder verschollen,,,
DE29E410-CB23-4AD9-849F-BBE4D807E7C8,1,vom Aussterben bedroht,,,
D9833A23-D500-4502-AD85-9833D84E946C,3,gefährdet,sur Vicia et Lathyrus,auf Vicia + Lathyrus,su Vicia + Lathyrus
D65AD83F-84C6-4D92-BE69-4E5957F62CEF,0,ausgestorben oder verschollen,,,
8BF8FA04-00DA-4E23-8436-7316D90972BF,0,ausgestorben oder verschollen,,,
17239916-1472-4588-B583-A2F240BA5D66,2,stark gefährdet,"sur Scabiosa, prairies sèches","auf Skabiosa, Trockenwiesen","su Scabiosa, prati secchi"
4B5B118E-8145-4006-AF81-AE030ED583BC,3,gefährdet,dans le sable,Sandbewohner,vive nella sabbia
2A3B66E2-48B6-4DB7-A8E1-918D45C0F702,3,gefährdet,,,
D7EA273D-3B88-4225-9E94-737614E697DD,4,potentiell gefährdet,prés maigres,Magerrasen,prati magri
D02BD957-15F2-4131-A05E-824D502C47B7,2,stark gefährdet,sur Cruciferae,auf Cruciferae,sulle Cruciferae
8E009C16-4B8F-47FB-8C5D-E1B046995340,4,potentiell gefährdet,,,
AA27A459-98D4-4223-A6B7-58B2CFBB313F,0,ausgestorben oder verschollen,"dans le sable, sur Salix","Sandbewohner, auf Salix","vive nella sabbia, su Salix"
7F388129-6301-4188-8EC3-C5C81420E533,2,stark gefährdet,sur Apiaceae,auf Apiaceae,sulle Apiaceae
EBFC2EF5-5D20-4647-9810-FF1AB3224949,2,stark gefährdet,sur Campanula,auf Campanula,su Campanula
A936E03B-6A66-4180-9EA0-D0E849BB9D44,0,ausgestorben oder verschollen,dans le sable,Sandbewohner,vive nella sabbia
87D7BCEF-A413-46DF-88D0-FAF70BDAE558,0,ausgestorben oder verschollen,,,
392E109A-8527-49BB-989F-3AFC122E65C2,3,gefährdet,,,
9DD86DEE-CFA0-49EB-9168-284048928750,1,vom Aussterben bedroht,"sur Potentilla, prairies sèches","auf Potentilla, Trockenwiesen","su Potentilla, prati secchi"
620EA402-8D9B-4FE1-9495-D1D9F4BF37BE,3,gefährdet,dans le sable,Sandbewohner,vive nella sabbia
501D9D76-C0FD-4A60-A816-4913275268EC,0,ausgestorben oder verschollen,,,
C878F442-0823-4D3D-AE51-DE09063A5897,2,stark gefährdet,sur Apiaceae,auf Apiaceae,sulle Apiaceae
7677378A-79EA-4238-9F6F-A98B742444B8,2,stark gefährdet,,,
0A6B6F14-64B2-4EFD-B050-ED5910F9590E,4,potentiell gefährdet,,,
3BEF54B6-5E37-4B47-B403-908828F52097,1,vom Aussterben bedroht,prés maigres,Magerrasen,prati magri
8D6646E7-8CC1-485C-8933-F2CBD351C352,1,vom Aussterben bedroht,prés maigres,Magerrasen,prati magri
FC0231C9-2A31-47C0-986B-BD8FF3999988,4,potentiell gefährdet,,,
83E40D8A-64F3-4ACC-9D09-B2BE895FED64,1,vom Aussterben bedroht,prés maigres,Magerrasen,prati magri
43A1943E-229E-4CA1-8BCB-E7D29EA35B93,3,gefährdet,,,
0131F5E0-A671-4389-861B-858A6F36B415,0,ausgestorben oder verschollen,"Mte Generoso, sur Cruciferae","Mte Generoso, auf Cruciferae","Monte Generoso, sulle Cruciferae"
7E5D8343-1D26-4CD0-A59E-D245BD45825F,4,potentiell gefährdet,,,
40DB3CCE-05CC-4196-8069-C991B9E13B85,3,gefährdet,"sur Veronica, prés maigres","auf Veronica, Magerrasen","su Veronica, prati magri"
037653DD-E867-47CA-846E-F8FD1EDF1EAD,2,stark gefährdet,,,
3B7D8BFB-3943-4667-B815-630F762BF9A3,3,gefährdet,prés maigres,Magerrasen,prati magri
8B8AFF8A-C92A-4A89-BD1A-2E9C96E43521,3,gefährdet,sur Asteraceae,auf Asteraceae,sulle Asteraceae
D5D2C887-7993-4D04-BD54-AC4EE9CF1531,4,potentiell gefährdet,,,
5A469F53-B537-4F00-908C-05185ADE5354,2,stark gefährdet,dans le sable,Sandbewohner,vive nella sabbia
0962EF74-62A4-45E1-9D66-F6B4A61EA28B,3,gefährdet,,,
9A0F3824-7A26-4EA7-BD08-32F1554C046D,3,gefährdet,,,
11181F83-C1D8-47C2-8BE9-03840F664445,4,potentiell gefährdet,,,
5CBAAF8F-DB5F-4CA8-96A5-8111A7A85159,3,gefährdet,dans le sable,Sandbewohner,vive nella sabbia
10AD6D6E-208A-4C88-9B3D-74844B78F2EC,3,gefährdet,,,
01E1BF21-BE74-40EA-8658-97DF461F72A7,3,gefährdet,,,
DE0CC213-4431-409E-AC0E-DBE2EE42E807,0,ausgestorben oder verschollen,autrefois canton du VS,früher Kt. Wallis,un tempo Vallese
7BD95874-32E8-4F20-956E-F216982178E1,2,stark gefährdet,,,
1DAF97CF-55B3-48EF-9F0C-5D06F55BE174,3,gefährdet,,,
D3D2A276-143B-4998-AD24-C28F4846E61C,4,potentiell gefährdet,,,
A26B3D9B-EF20-4A80-B37E-3E61E4216756,4,potentiell gefährdet,,,
34725DB6-BC83-4901-9FFC-8C5B320C80E2,3,gefährdet,prés maigres,Magerrasen,prati magri
610E1D12-69AE-451A-9575-E748E1E53D81,3,gefährdet,,,
74825542-2E67-4224-8BA9-F42FDABE4332,2,stark gefährdet,,,
89601B3E-16C7-4AE3-9D9A-A016C9078D0A,4,potentiell gefährdet,,,
EB8F95F2-2587-47DB-BC02-559C09AB7839,3,gefährdet,"prés maigres, sable","Magerrasen, Sand","prati magri, sabbia"
36556ADB-32D2-4A8E-8F54-276231A88CED,3,gefährdet,prés maigres,Magerrasen,prati magri
BA07FCB7-FACA-494B-9E2A-0864C708DBFD,3,gefährdet,,,
A5FB9EF0-955F-4F4E-9001-D2EADD178996,4,potentiell gefährdet,,,
50B09A2D-5046-4725-852D-01F40ED9FAB2,4,potentiell gefährdet,prés secs,Trockenrasen,prati secchi
D4E68CB4-1F95-4BD9-9DF6-A3CF7E3D4B36,3,gefährdet,,,
21ED81AA-180C-4B0C-8C35-EA7C8710AFCB,3,gefährdet,"prés maigres, sable","Magerrasen, Sand","prati magri, sabbia"
FD41A609-10AE-4863-A070-87BD6D5ED899,3,gefährdet,,,
